groundtruth-rot0-1:
Pink3,"[(877, 435), (1042, 435), (1042, 491), (877, 491)]"
DarkBlue6,"[(845, 514), (1064, 514), (1064, 570), (845, 570)]"
DarkPink6,"[(847, 592), (1062, 592), (1062, 649), (847, 649)]"

groundtruth-rot0-3:
White5,"[(278, 354), (691, 354), (691, 386), (278, 386)]"
DarkBlue5,"[(279, 419), (690, 419), (690, 447), (279, 447)]"
Red5,"[(275, 483), (686, 483), (686, 512), (275, 512)]"
Black5,"[(278, 545), (689, 545), (689, 576), (278, 576)]"
DarkGreen5,"[(276, 610), (690, 610), (690, 641), (276, 641)]"
Orange2,"[(45, 29), (156, 29), (156, 91), (45, 91)]"
DarkOliveGreen2,"[(43, 112), (158, 112), (158, 170), (43, 170)]"
DarkPink2,"[(46, 195), (161, 195), (161, 250), (46, 250)]"
DarkBlue4,"[(302, 29), (616, 29), (616, 64), (302, 64)]"
DarkGray4,"[(300, 94), (614, 94), (614, 128), (300, 128)]"
DarkBlue1,"[(724, 28), (935, 28), (935, 62), (724, 62)]"
Black1,"[(723, 95), (934, 95), (934, 126), (723, 126)]"
OliveGreen1,"[(721, 160), (936, 160), (936, 192), (721, 192)]"
Yellow1,"[(719, 223), (931, 223), (931, 253), (719, 253)]"
LightBlue1,"[(721, 289), (933, 289), (933, 318), (721, 318)]"

groundtruth-rot0-4:
DarkGray3,"[(65, 45), (242, 45), (242, 108), (65, 108)]"
LightGray6,"[(64, 132), (296, 132), (296, 194), (64, 194)]"
DarkGray10,"[(68, 231), (405, 231), (405, 346), (68, 346)]"
DarkBlue3,"[(77, 376), (250, 376), (250, 437), (77, 437)]"
DarkBlue6,"[(82, 476), (308, 476), (308, 535), (82, 535)]"
DarkBlue10,"[(76, 580), (407, 580), (407, 696), (76, 696)]"
Black1,"[(754, 69), (981, 69), (981, 102), (754, 102)]"
DarkGray4,"[(645, 141), (986, 141), (986, 174), (645, 174)]"
Black5,"[(530, 212), (978, 212), (978, 242), (530, 242)]"
LightGray8,"[(535, 288), (982, 288), (982, 349), (535, 349)]"
DarkBlue1,"[(744, 386), (973, 386), (973, 416), (744, 416)]"
DarkBlue4,"[(637, 469), (975, 469), (975, 502), (637, 502)]"
DarkBlue5,"[(528, 547), (973, 547), (973, 584), (528, 584)]"
DarkBlue8,"[(526, 628), (968, 628), (968, 694), (526, 694)]"

groundtruth-rot45-5:
DarkPink2,"[(513, 17), (437, 58), (517, 104), (594, 56)]"
Orange2,"[(517, 113), (436, 154), (515, 198), (594, 155)]"
DarkOliveGreen2,"[(936, 76), (1013, 115), (930, 161), (851, 121)]"
DarkBlue1,"[(130, 39), (176, 23), (306, 120), (260, 138)]"
Black1,"[(142, 168), (190, 153), (312, 249), (265, 266)]"
LightBlue1,"[(152, 307), (206, 292), (312, 389), (263, 403)]"
Yellow1,"[(166, 440), (221, 424), (326, 517), (273, 536)]"
OliveGreen1,"[(174, 575), (228, 559), (331, 654), (278, 673)]"
DarkBlue4,"[(402, 426), (451, 411), (626, 547), (579, 565)]"
DarkGray4,"[(396, 555), (443, 539), (621, 677), (575, 695)]"
DarkGreen9,"[(513, 213), (351, 286), (497, 369), (662, 296)]"
DarkBlue5,"[(702, 503), (751, 488), (1006, 672), (961, 688)]"
Black5,"[(678, 138), (725, 116), (1007, 289), (959, 311)]"
Red5,"[(685, 273), (730, 251), (1011, 423), (968, 442)]"
DarkGreen5,"[(692, 392), (739, 373), (1011, 548), (968, 569)]"

groundtruth-rot180-6:
Yellow12,"[(56, 184), (394, 184), (394, 356), (56, 356)]"
Brown12,"[(65, 416), (398, 416), (398, 583), (65, 583)]"
LightGreen10,"[(474, 85), (700, 85), (700, 259), (474, 259)]"
Yellow10,"[(474, 308), (699, 308), (699, 475), (474, 475)]"
DarkGray10,"[(479, 514), (703, 514), (703, 686), (479, 686)]"
DarkGreen11,"[(789, 187), (1024, 187), (1024, 414), (789, 414)]"
LightViolet11,"[(786, 458), (1019, 458), (1019, 685), (786, 685)]"

groundtruth-rot180-7:
DarkGreen3,"[(60, 105), (183, 105), (183, 196), (60, 196)]"
Pink3,"[(234, 106), (353, 106), (353, 197), (234, 197)]"
DarkBlue3,"[(413, 104), (529, 104), (529, 195), (413, 195)]"
Yellow3,"[(579, 104), (699, 104), (699, 194), (579, 194)]"
LightYellow3,"[(756, 104), (878, 104), (878, 194), (756, 194)]"
DarkGray3,"[(928, 100), (1051, 100), (1051, 192), (928, 192)]"
LightPink7,"[(64, 247), (190, 247), (190, 419), (64, 419)]"
LightYellow7,"[(235, 247), (361, 247), (361, 417), (235, 417)]"
DarkGreen7,"[(411, 250), (532, 250), (532, 417), (411, 417)]"
LightGray7,"[(584, 250), (708, 250), (708, 419), (584, 419)]"
OliveGreen7,"[(759, 246), (881, 246), (881, 417), (759, 417)]"
Black8,"[(71, 462), (199, 462), (199, 685), (71, 685)]"
DarkBlue8,"[(244, 463), (363, 463), (363, 684), (244, 684)]"
LightGray8,"[(416, 461), (533, 461), (533, 685), (416, 685)]"
Yellow8,"[(603, 459), (721, 459), (721, 687), (603, 687)]"
Orange2,"[(793, 461), (915, 461), (915, 521), (793, 521)]"
DarkPink2,"[(801, 538), (919, 538), (919, 600), (801, 600)]"
DarkOliveGreen2,"[(801, 612), (919, 612), (919, 676), (801, 676)]"

groundtruth-rotXX-8:
Orange2,"[(301, 17), (265, 77), (374, 100), (410, 40)]"
DarkPink2,"[(117, 487), (163, 537), (268, 510), (222, 460)]"
DarkOliveGreen2,"[(210, 658), (287, 616), (365, 656), (287, 699)]"
LightYellow3,"[(232, 535), (394, 516), (414, 572), (254, 593)]"
DarkGreen3,"[(321, 460), (363, 404), (513, 437), (473, 490)]"
Yellow3,"[(657, 514), (814, 484), (855, 539), (702, 570)]"
DarkGray3,"[(737, 591), (904, 603), (892, 662), (724, 650)]"
Pink3,"[(352, 347), (399, 295), (550, 332), (499, 384)]"
DarkBlue3,"[(493, 290), (511, 232), (673, 247), (655, 304)]"
LightGreen6,"[(97, 126), (215, 126), (223, 238), (109, 240)]"
Green6,"[(157, 319), (273, 314), (291, 422), (178, 429)]"
LightGray6,"[(266, 155), (356, 120), (489, 212), (403, 247)]"
DarkPink6,"[(434, 563), (530, 532), (638, 630), (543, 660)]"
Violet6,"[(515, 402), (586, 359), (754, 431), (684, 473)]"
LightYellow6,"[(547, 59), (659, 60), (654, 176), (543, 176)]"
Yellow6,"[(725, 59), (838, 50), (878, 159), (764, 175)]"
Black6,"[(724, 319), (782, 270), (975, 328), (918, 377)]"
LightBlue6,"[(790, 185), (1018, 191), (1007, 251), (780, 245)]"
Red6,"[(827, 435), (916, 400), (1058, 486), (972, 525)]"

groundtruth-rotXX-9:
DarkBlue10,"[(25, 40), (262, 40), (262, 214), (25, 214)]"
Yellow10,"[(684, 275), (1026, 275), (1026, 389), (684, 389)]"
LightViolet11,"[(790, 11), (1029, 11), (1029, 245), (790, 245)]"
DarkGreen9,"[(145, 371), (322, 443), (183, 529), (8, 460)]"
LightGreen10,"[(212, 229), (498, 316), (386, 414), (102, 325)]"
DarkGray10,"[(160, 621), (248, 515), (551, 581), (463, 686)]"
Red10,"[(622, 594), (930, 535), (1012, 643), (702, 702)]"
Yellow12,"[(282, 179), (508, 51), (751, 168), (527, 292)]"
Brown12,"[(341, 491), (498, 346), (787, 424), (632, 569)]"

groundtruth-rotXX-10:
Black8,"[(80, 645), (519, 645), (519, 708), (80, 708)]"
DarkGray4,"[(925, 465), (994, 465), (994, 632), (925, 632)]"
LightBlue1,"[(979, 90), (1052, 90), (1052, 208), (979, 208)]"
Black1,"[(177, 60), (118, 52), (90, 167), (150, 172)]"
OliveGreen1,"[(159, 244), (214, 261), (103, 356), (46, 339)]"
Yellow1,"[(192, 538), (99, 441), (43, 457), (134, 554)]"
DarkBlue4,"[(388, 636), (408, 604), (96, 556), (76, 588)]"
DarkGreen5,"[(386, 259), (120, 433), (72, 414), (338, 239)]"
OliveGreen7,"[(344, 556), (262, 401), (150, 416), (235, 571)]"
LightYellow7,"[(243, 369), (335, 339), (516, 473), (426, 506)]"
LightGray8,"[(243, 244), (388, 30), (281, 9), (133, 221)]"
DarkBlue5,"[(383, 184), (438, 178), (511, 396), (459, 403)]"
LightGray7,"[(550, 611), (673, 458), (572, 436), (448, 589)]"
Yellow8,"[(455, 66), (568, 57), (634, 281), (524, 289)]"
DarkBlue1,"[(770, 14), (713, 5), (660, 123), (713, 129)]"
Red5,"[(941, 74), (893, 58), (650, 251), (696, 268)]"
Black5,"[(563, 298), (518, 314), (748, 501), (794, 485)]"
DarkBlue8,"[(812, 212), (927, 191), (1060, 403), (947, 421)]"
LightPink7,"[(744, 333), (858, 324), (910, 487), (799, 499)]"
DarkGreen7,"[(941, 679), (753, 536), (663, 569), (848, 710)]"

groundtruth-rot0-11:
DarkGreen11,"[(32, 23), (479, 23), (479, 136), (32, 136)]"
LightViolet11,"[(482, 22), (927, 22), (927, 133), (482, 133)]"
DarkGreen3,"[(818, 136), (987, 136), (987, 190), (818, 190)]"
DarkBlue8,"[(370, 136), (817, 136), (817, 195), (370, 195)]"
Yellow3,"[(812, 191), (981, 191), (981, 246), (812, 246)]"
Black8,"[(369, 192), (813, 192), (813, 247), (369, 247)]"
Red10,"[(33, 136), (370, 136), (370, 249), (33, 249)]"
LightYellow3,"[(811, 248), (977, 248), (977, 303), (811, 303)]"
DarkBlue3,"[(810, 306), (978, 306), (978, 355), (810, 355)]"
LightGray8,"[(371, 247), (811, 247), (811, 303), (371, 303)]"
Yellow8,"[(370, 304), (809, 304), (809, 358), (370, 358)]"
DarkBlue10,"[(38, 249), (371, 249), (371, 359), (38, 359)]"
Black6,"[(699, 359), (923, 359), (923, 412), (699, 412)]"
OliveGreen7,"[(370, 360), (699, 360), (699, 412), (370, 412)]"
DarkBlue6,"[(698, 413), (920, 413), (920, 467), (698, 467)]"
LightGray7,"[(370, 415), (697, 415), (697, 465), (370, 465)]"
Yellow10,"[(38, 358), (369, 358), (369, 467), (38, 467)]"
Green6,"[(698, 466), (918, 466), (918, 522), (698, 522)]"
LightGray6,"[(697, 523), (918, 523), (918, 575), (697, 575)]"
LightPink7,"[(369, 520), (696, 520), (696, 575), (369, 575)]"
LightYellow7,"[(370, 468), (697, 468), (697, 520), (370, 520)]"
Violet6,"[(699, 575), (921, 575), (921, 630), (699, 630)]"
DarkGreen7,"[(371, 576), (699, 576), (699, 629), (371, 629)]"
LightGreen10,"[(40, 469), (369, 469), (369, 575), (40, 575)]"
DarkGray10,"[(43, 576), (373, 576), (373, 683), (43, 683)]"
DarkBlue5,"[(375, 631), (811, 631), (811, 658), (375, 658)]"
Red5,"[(376, 658), (811, 658), (811, 686), (376, 686)]"
